time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2024-01-16 09:30:00-05:00,AITrader,ca8c1fe7278a4cfb9d25cfe7d08c889f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-16 09:30:00-05:00,AITrader,ca8c1fe7278a4cfb9d25cfe7d08c889f,SPY,buy,market,fill,1,gtc,0.0,1,stock,475.260009765625,105.0,0.0
2024-01-17 09:30:00-05:00,AITrader,8aa49cd4f6044a529772c8fb65c1f7d4,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-17 09:30:00-05:00,AITrader,8aa49cd4f6044a529772c8fb65c1f7d4,SPY,buy,market,fill,1,gtc,0.0,1,stock,471.82000732421875,53.0,0.0
2024-01-18 09:30:00-05:00,AITrader,79f0baacf5dd40b8ab8233398f7c63fe,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-18 09:30:00-05:00,AITrader,79f0baacf5dd40b8ab8233398f7c63fe,SPY,buy,market,fill,1,gtc,0.0,1,stock,474.010009765625,26.0,0.0
2024-01-19 09:30:00-05:00,AITrader,fb74fc005fbd4c8b88cb364efd6230c3,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-19 09:30:00-05:00,AITrader,fb74fc005fbd4c8b88cb364efd6230c3,SPY,buy,market,fill,1,gtc,0.0,1,stock,477.6499938964844,13.0,0.0
2024-01-22 09:30:00-05:00,AITrader,b418b93aa92b4e9ebde09daacede5950,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-22 09:30:00-05:00,AITrader,b418b93aa92b4e9ebde09daacede5950,SPY,buy,market,fill,1,gtc,0.0,1,stock,484.010009765625,6.0,0.0
2024-01-23 09:30:00-05:00,AITrader,6d256b25f1aa4cdcb485670cf56b94a3,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-23 09:30:00-05:00,AITrader,6d256b25f1aa4cdcb485670cf56b94a3,SPY,buy,market,fill,1,gtc,0.0,1,stock,484.010009765625,3.0,0.0
2024-01-24 09:30:00-05:00,AITrader,83642eae358748b9b729de6d56651aae,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-24 09:30:00-05:00,AITrader,83642eae358748b9b729de6d56651aae,SPY,buy,market,fill,1,gtc,0.0,1,stock,487.80999755859375,2.0,0.0
2024-01-25 09:30:00-05:00,AITrader,2485dfbcb94f462a9784fa487036fbfc,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2024-01-25 09:30:00-05:00,AITrader,2485dfbcb94f462a9784fa487036fbfc,SPY,buy,market,fill,1,gtc,0.0,1,stock,487.5799865722656,1.0,0.0
